dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
26.471,49.798,25.253,55.364,717
25.253,55.364,47.43,19.261,718
47.43,19.261,25.253,55.364,719
25.253,55.364,13.681,100.747,720
13.681,100.747,25.253,55.364,721
25.253,55.364,24.958,46.699,722
24.958,46.699,25.253,55.364,723
25.253,55.364,49.013,2.55,724
49.013,2.55,25.253,55.364,725
25.253,55.364,49.013,2.55,726
49.013,2.55,25.253,55.364,727
25.253,55.364,55.409,37.906,728
55.409,37.906,25.253,55.364,729
25.253,55.364,1.35,103.994,730
1.35,103.994,25.253,55.364,731
25.253,55.364,38.945,-77.456,732
38.945,-77.456,25.253,55.364,733
25.253,55.364,25.273,51.608,734
25.273,51.608,25.253,55.364,735
25.253,55.364,25.078,121.233,736
25.078,121.233,25.253,55.364,737
25.253,55.364,49.013,2.55,738
49.013,2.55,25.253,55.364,739
25.253,55.364,-4.674,55.522,740
-4.674,55.522,25.253,55.364,741
25.253,55.364,29.227,47.969,742
29.227,47.969,25.253,55.364,743
25.253,55.364,1.35,103.994,744
1.35,103.994,25.253,55.364,745
25.253,55.364,26.471,49.798,746
26.471,49.798,25.253,55.364,747
25.253,55.364,17.231,78.43,748
17.231,78.43,25.253,55.364,749
25.253,55.364,31.143,121.805,750
31.143,121.805,25.253,55.364,751
